対象のエフェクト名,①ラベル名,①開始時間(秒),②ラベル名,②開始時間(秒),③ラベル名,③開始時間(秒)
EFF_com_raid_heart_01,se_eff_cure,0,,,,
EFF_ui_spSummon_dm_icon_01,se_eff_dm_icon_01,0,,,,
EFF_ui_spSummon_gx_icon_01,se_eff_gx_icon_01,0,,,,
EFF_ui_spSummon_5ds_icon_01,se_eff_5ds_icon_01,0,,,,
EFF_ui_spSummon_zexal_icon_01,se_eff_zexal_icon_01,0,,,,
EFF_ui_spSummon_arcV_icon_01,se_eff_arcv_icon_01,0,,,,
EFF_ui_spSummon_vrains_status_01,se_eff_vrains_icon_01,0,,,,
EFF_ui_spSummon_sevens_status_01,se_eff_sevens_icon_01,0,,,,
EFF_ui_spSummon_sevensMax_status_01,se_eff_sevensmax_icon_01,0,,,,
EFF_ui_spSummon_ocg_icon_01,se_eff_ocg_icon_01,0,,,,
04007_01J_a_summon_01,se_eff_04007_s,0.2,,,,
04007_01J_b_death_01,se_eff_monbreak,0,,,,
04007_01J_c_death_01,se_eff_monbreak,0,,,,
04007_01J_d_attack_01,se_eff_04007_d,0,,,,
04007_01J_e_attack_01,se_eff_e01,0,se_eff_attack_exp_1,0.3,,
04007_01J_i_spSummon_01,se_eff_04007_sp,0.2,,,,
04027_01J_a_summon_01,se_eff_04027_s,0,,,,
04027_01J_b_death_01,se_eff_monbreak,0.1,,,,
04027_01J_c_death_01,se_eff_monbreak,0,,,,
04027_01J_d_attack_01,se_eff_mvmt_1,1,se_eff_wind_whoosh_1,1,,
04027_01J_e_attack_01,se_eff_attack,0,se_eff_attack_exp_1,0.3,,
04027_01J_m_attack_01,se_eff_04027_w,0,,,,
04028_01J_a_summon_01,se_eff_04028_s,0.3,,,,
04028_01J_b_death_01,se_eff_monbreak,0,,,,
04028_01J_c_death_01,se_eff_monbreak,0,,,,
04028_01J_d_attack_01,se_eff_04028_d,0,,,,
04028_01J_e_attack_01,se_eff_e18,0,se_eff_attack_exp_1,0.3,,
04041_01J_a_summon_01,se_eff_04041_s,0,,,,
04041_01J_i_spSummon_01,se_eff_04041_sp,0.3,,,,
04041_01J_a2_spSummon_01,se_eff_04041_sp,0.3,,,,
04041_01J_b_death_01,se_eff_monbreak,0,,,,
04041_01J_c_death_01,se_eff_monbreak,0,,,,
04041_01J_d_attack_01,se_eff_04041_d,0.3,,,,
04041_01J_e_attack_01,se_eff_e03,0,se_eff_attack_exp_1,0.3,,
04044_01J_a_summon_01,se_eff_foot_horse,0.8,se_eff_bark_horse_1,1.6,se_eff_foot_horse,2.7
04044_01J_b_death_01,se_eff_monbreak,0,,,,
04044_01J_c_death_01,se_eff_monbreak,0,,,,
04044_01J_d_attack_01,se_eff_04044_d,0,,,,
04044_01J_e_attack_01,se_eff_e13,0,se_eff_attack_exp_1,0.3,,
04047_01J_a_summon_01,se_eff_04047_s,0,,,,
04047_01J_b_death_01,se_eff_monbreak,0,,,,
04047_01J_c_death_01,se_eff_monbreak,0,,,,
04047_01J_d_attack_01,se_eff_04047_d,0,,,,
04047_01J_e_attack_01,se_eff_e11,0,se_eff_attack_exp_1,0.3,,
04064_01J_a_summon_01,se_eff_04064_s,3.5,,,,
04064_01J_b_death_01,se_eff_monbreak,0,,,,
04064_01J_c_death_01,se_eff_monbreak,0,,,,
04064_01J_d_attack_01,se_eff_04064_d,0,,,,
04064_01J_e_attack_01,se_eff_e18,0,se_eff_attack_exp_1,0.3,,
04080_01J_a_summon_01,se_eff_mvmt_1,1.5,se_eff_foot_large_2,3,,
04080_01J_b_death_01,se_eff_monbreak,0,,,,
04080_01J_c_death_01,se_eff_monbreak,0,,,,
04080_01J_d_attack_01,se_eff_04080_d,0,,,,
04080_01J_e_attack_01,se_eff_e13,0,se_eff_attack_exp_1,0.3,,
04222_01J_a_summon_01,se_eff_04222_s,0,,,,
04222_01J_b_death_01,se_eff_monbreak,0,,,,
04222_01J_c_death_01,se_eff_monbreak,0,,,,
04222_01J_d_attack_01,se_eff_04222_d,0,,,,
04222_01J_e_attack_01,se_eff_e17,0,se_eff_attack_exp_1,0.3,,
04370_01J_a_summon_01,se_eff_04370_s,0.4,,,,
04370_01J_b_death_01,se_eff_monbreak,0,,,,
04370_01J_c_death_01,se_eff_monbreak,0,,,,
04370_01J_d_attack_01,se_eff_04370_d,0,,,,
04370_01J_e_attack_01,se_eff_e11,0,se_eff_attack_exp_1,0.3,,
04766_01J_a_summon_01,se_eff_04766_s,0.2,,,,
04766_01J_b_death_01,se_eff_monbreak,0,,,,
04766_01J_c_death_01,se_eff_monbreak,0,,,,
04766_01J_d_attack_01,se_eff_04766_d,0,,,,
04766_01J_e_attack_01,se_eff_e06,0,se_eff_attack_exp_1,0.3,,
05004_01J_a_summon_01,se_eff_05004_s,1.5,,,,
05004_01J_b_death_01,se_eff_monbreak,0,,,,
05004_01J_c_death_01,se_eff_monbreak,0,,,,
05004_01J_d_attack_01,se_eff_05004_d,0,,,,
05004_01J_e_attack_01,se_eff_e11,0,se_eff_attack_exp_1,0.3,,
05451_01J_a_summon_01,se_eff_05451_s,0.6,,,,
05451_01J_b_death_01,se_eff_monbreak,0,,,,
05451_01J_c_death_01,se_eff_monbreak,0,,,,
05451_01J_d_attack_01,se_eff_05451_d,0,,,,
05451_01J_e_attack_01,se_eff_05451_n,0,se_eff_attack_exp_1,0.3,,
05451_01J_i_spSummon_01,se_eff_05451_sp,0,,,,
05488_01J_a_summon_01,se_eff_05488_s,0.3,,,,
05488_01J_b_death_01,se_eff_monbreak,0,,,,
05488_01J_c_death_01,se_eff_monbreak,0,,,,
05488_01J_d_attack_01,se_eff_05488_d,0,,,,
05488_01J_e_attack_01,se_eff_05488_n,0,se_eff_attack_exp_1,0.3,,
05504_01J_a_summon_01,se_eff_05504_s,0.4,,,,
05504_01J_b_death_01,se_eff_monbreak,0,,,,
05504_01J_c_death_01,se_eff_monbreak,0,,,,
05504_01J_d_attack_01,se_eff_05504_d,0,,,,
05504_01J_e_attack_01,se_eff_e20,0,se_eff_attack_exp_1,0.3,,
05552_01J_a_summon_01,se_eff_05552_s,0,,,,
05552_01J_b_death_01,se_eff_monbreak,0,,,,
05552_01J_c_death_01,se_eff_monbreak,0,,,,
05552_01J_d_attack_01,se_eff_05552_d,0,,,,
05552_01J_e_attack_01,se_eff_e20,0,se_eff_attack_exp_1,0.3,,
05555_01J_a_summon_01,se_eff_05555_s,0,,,,
05555_01J_b_death_01,se_eff_monbreak,0,,,,
05555_01J_c_death_01,se_eff_monbreak,0,,,,
05555_01J_d_attack_01,se_eff_05555_d,0,,,,
05555_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
05761_01J_a_summon_01,se_eff_05761_s,0,,,,
05761_01J_b_death_01,se_eff_monbreak,0,,,,
05761_01J_c_death_01,se_eff_monbreak,0,,,,
05761_01J_d_attack_01,se_eff_05761_d,0.5,,,,
05761_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
05811_01J_a_summon_01,se_eff_05811_s,0,,,,
05811_01J_b_death_01,se_eff_monbreak,0,,,,
05811_01J_c_death_01,se_eff_monbreak,0,,,,
05811_01J_d_attack_01,se_eff_05811_d,0,,,,
05811_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
05812_01J_a_summon_01,se_eff_05812_s,0,,,,
05812_01J_b_death_01,se_eff_monbreak,0,,,,
05812_01J_c_death_01,se_eff_monbreak,0,,,,
05812_01J_d_attack_01,se_eff_05812_d,0,,,,
05812_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
05965_01J_a_summon_01,se_eff_05965_s,0,,,,
05965_01J_b_death_01,se_eff_monbreak,0,,,,
05965_01J_c_death_01,se_eff_monbreak,0,,,,
05965_01J_i_bossSummon_01,se_eff_05965_sp,0,,,,
05965_01J_i_spSummon_01,se_eff_05965_sp,0,,,,
05965_01J_m_bossAttack_01,se_eff_05965_ba,0,,,,
05965_01J_m_attack_01,se_eff_05965_ma,0,,,,
05965_01J_n_attack_01,se_eff_05965_na,0,,,,
05965_01J_o_attack_01,se_eff_05965_oa,0,,,,
05965_01J_e_attack_01,se_eff_attack,0,se_eff_attack_exp_1,0.3,,
05965_01J_b_destroy_01,se_eff_05965_bd,0,,,,
05965_01J_j_destroy_01,se_eff_05965_jd,0,,,,
05965_01J_k_down_01,se_eff_05965_kd,1,,,,
05975_01J_a_summon_01,se_eff_05975_s,0.9,,,,
05975_01J_b_death_01,se_eff_monbreak,0,,,,
05975_01J_c_death_01,se_eff_monbreak,0,,,,
05975_01J_d_attack_01,se_eff_05975_d,0.3,,,,
05975_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
06018_01J_a_summon_01,se_eff_06018_s,0,,,,
06018_01J_b_death_01,se_eff_monbreak,0,,,,
06018_01J_c_death_01,se_eff_monbreak,0,,,,
06018_01J_d_attack_01,se_eff_06018_d,0.1,,,,
06018_01J_e_attack_01,se_eff_e21,0,se_eff_attack_exp_1,0.3,,
,,,,,,
06126_01J_a_summon_01,se_eff_06126_s,0.1,,,,
06126_01J_b_death_01,se_eff_monbreak,0,,,,
06126_01J_c_death_01,se_eff_monbreak,0,,,,
06126_01J_d_attack_01,se_eff_06126_d,0.4,,,,
06126_01J_i_spSummon_01,se_eff_06126_sp,0,,,,
06126_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
06239_01J_b_death_01,se_eff_monbreak,0,,,,
06239_01J_c_death_01,se_eff_monbreak,0,,,,
06239_01J_e_attack_01,se_eff_attack,0,se_eff_attack_exp_1,0.3,,
06310_01J_a_summon_01,se_eff_06310_s,1.2,,,,
06310_01J_b_death_01,se_eff_monbreak,0,,,,
06310_01J_c_death_01,se_eff_monbreak,0,,,,
06310_01J_d_attack_01,se_eff_06310_d,0,,,,
06310_01J_e_attack_01,se_eff_e18,0,se_eff_attack_exp_1,0.3,,
06311_01J_a_summon_01,se_eff_06311_s,0.7,,,,
06311_01J_b_death_01,se_eff_monbreak,0,,,,
06311_01J_c_death_01,se_eff_monbreak,0,,,,
06311_01J_d_attack_01,se_eff_06311_d,0.3,,,,
06311_01J_e_attack_01,se_eff_e07,0,se_eff_attack_exp_1,0.3,,
06313_01J_a_summon_01,se_eff_06313_s,0.5,,,,
06313_01J_b_death_01,se_eff_monbreak,0,,,,
06313_01J_c_death_01,se_eff_monbreak,0,,,,
06313_01J_d_attack_01,se_eff_06313_d,0,,,,
06313_01J_e_attack_01,se_eff_e09,0,se_eff_attack_exp_1,0.3,,
06314_01J_a_summon_01,se_eff_06314_s,0.3,,,,
06314_01J_b_death_01,se_eff_monbreak,0,,,,
06314_01J_c_death_01,se_eff_monbreak,0,,,,
06314_01J_d_attack_01,se_eff_06314_d,0.1,,,,
06314_01J_e_attack_01,se_eff_e18,0,se_eff_attack_exp_1,0.3,,
06344_01J_a_summon_01,se_eff_06344_s,0,,,,
06344_01J_b_death_01,se_eff_monbreak,0,,,,
06344_01J_c_death_01,se_eff_monbreak,0,,,,
06344_01J_d_attack_01,se_eff_06344_d,0,,,,
06344_01J_e_attack_01,se_eff_e07,0,se_eff_attack_exp_1,0.3,,
06653_01J_a_summon_01,se_eff_06653_s,0.2,,,,
06653_01J_b_death_01,se_eff_monbreak,0,,,,
06653_01J_c_death_01,se_eff_monbreak,0,,,,
06653_01J_d_attack_01,se_eff_06653_d,0.5,,,,
06653_01J_i_spSummon_01,se_eff_06653_sp,0,,,,
06653_01J_e_attack_01,se_eff_e05,0,se_eff_attack_exp_1,0.3,,
07117_01J_a_summon_01,se_eff_07117_s,0,,,,
07117_01J_b_death_01,se_eff_monbreak,0,,,,
07117_01J_c_death_01,se_eff_monbreak,0,,,,
07117_01J_i_bossSummon_01,se_eff_07117_bs,0,,,,
07117_01J_i_spSummon_01,se_eff_07117_bs,0,,,,
07117_01J_m_attack_01,se_eff_07117_ma,0,,,,
07117_01J_m_bossAttack_01,se_eff_07117_ba,0,,,,
07117_01J_n_attack_01,se_eff_07117_na,0,,,,
07117_01J_o_attack_01,se_eff_07117_oa,0,,,,
07117_01J_e_attack_01,se_eff_attack,0,se_eff_attack_exp_1,0.3,,
07117_01J_b_destroy_01,se_eff_07117_bd,0.3,,,,
07117_01J_j_destroy_01,se_eff_07117_jd,0,,,,
07117_01J_k_down_01,se_eff_07117_kd,0.7,,,,
07516_01J_a_summon_01,se_eff_07516_s,0,,,,
07516_01J_b_destroy_01,se_eff_07516_bd,0,,,,
07516_01J_i_spSummon_01,se_eff_07516_sp,0.5,,,,
07516_01J_j_destroy_01,se_eff_07516_jd,0,,,,
07516_01J_k_down_01,se_eff_07516_kd,0,,,,
07516_01J_m_attack_01,se_eff_07516_ma,0,,,,
07516_01J_m_bossAttack_01,se_eff_07516_ba,0,,,,
07516_01J_n_attack_01,se_eff_07516_na,0,,,,
07516_01J_o_attack_01,se_eff_07516_oa,0,,,,
07516_01J_i_bossSummon_01,se_eff_07516_sp,0.5,,,,
07516_01J_b_death_01,se_eff_monbreak,0,,,,
07516_01J_c_death_01,se_eff_monbreak,0,,,,
07516_01J_e_attack_01,se_eff_attack,0,se_eff_attack_exp_1,0.3,,
07687_01J_a_summon_01,se_eff_07687_s,0.5,,,,
07687_01J_b_death_01,se_eff_monbreak,0,,,,
07687_01J_c_death_01,se_eff_monbreak,0,,,,
07687_01J_d_attack_01,se_eff_07687_d,0,,,,
07687_01J_e_attack_01,se_eff_e19,0,se_eff_attack_exp_1,0.3,,
07688_01J_a_summon_01,se_eff_07688_s,0.3,,,,
07688_01J_b_death_01,se_eff_monbreak,0,,,,
07688_01J_c_death_01,se_eff_monbreak,0,,,,
07688_01J_d_attack_01,se_eff_07688_d,0,,,,
07688_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
07696_01J_a_summon_01,se_eff_07696_s,0.4,,,,
07696_01J_b_death_01,se_eff_monbreak,0,,,,
07696_01J_c_death_01,se_eff_monbreak,0,,,,
07696_01J_d_attack_01,se_eff_07696_d,0,,,,
07696_01J_e_attack_01,se_eff_e20,0,se_eff_attack_exp_1,0.3,,
07701_01J_a_summon_01,se_eff_07701_s,0,,,,
07701_01J_b_death_01,se_eff_monbreak,0,,,,
07701_01J_c_death_01,se_eff_monbreak,0,,,,
07701_01J_d_attack_01,se_eff_07701_d,0,,,,
07701_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
07708_01J_a_summon_01,se_eff_bell_1,1,,,,
07708_01J_b_death_01,se_eff_monbreak,0,,,,
07708_01J_c_death_01,se_eff_monbreak,0,,,,
07708_01J_d_attack_01,se_eff_07708_s,0,,,,
07708_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
07734_01J_a_summon_01,se_eff_07734_s,0,,,,
07734_01J_b_death_01,se_eff_monbreak,0,,,,
07734_01J_c_death_01,se_eff_monbreak,0,,,,
07734_01J_d_attack_01,se_eff_07734_d,0,,,,
07734_01J_i_spSummon_01,se_eff_07734_sp,0,,,,
07734_01J_e_attack_01,se_eff_e14,0,se_eff_attack_exp_1,0.3,,
07735_01J_a_summon_01,se_eff_07735_s,0,,,,
07735_01J_b_death_01,se_eff_monbreak,0,,,,
07735_01J_c_death_01,se_eff_monbreak,0,,,,
07735_01J_d_attack_01,se_eff_07735_d,0,,,,
07735_01J_i_spSummon_01,se_eff_07735_sp,0,,,,
07735_01J_e_attack_01,se_eff_e15,0,se_eff_attack_exp_1,0.3,,
07871_01J_a_summon_01,se_eff_wind_low_1,0.7,se_eff_wind_mid_1,1,se_eff_foot_landing,2
07871_01J_b_death_01,se_eff_monbreak,0,,,,
07871_01J_c_death_01,se_eff_monbreak,0,,,,
07871_01J_d_attack_01,se_eff_07871_d,0,,,,
07871_01J_e_attack_01,se_eff_e18,0,se_eff_attack_exp_1,0.3,,
07991_01J_a_summon_01,se_eff_07991_s,0.3,,,,
07991_01J_b_death_01,se_eff_monbreak,0,,,,
07991_01J_c_death_01,se_eff_monbreak,0,,,,
07991_01J_d_attack_01,se_eff_07991_d,0,,,,
07991_01J_e_attack_01,se_eff_e18,0,se_eff_attack_exp_1,0.3,,
08005_01J_a_summon_01,se_eff_08005_s,0.5,,,,
08005_01J_b_death_01,se_eff_monbreak,0,,,,
08005_01J_c_death_01,se_eff_monbreak,0,,,,
08005_01J_d_attack_01,se_eff_08005_d,0,,,,
08005_01J_e_attack_01,se_eff_e02,0,se_eff_attack_exp_1,0.3,,
09296_01J_a_summon_01,se_eff_09296_s,0,,,,
09296_01J_b_death_01,se_eff_monbreak,0,,,,
09296_01J_c_death_01,se_eff_monbreak,0,,,,
09296_01J_d_attack_01,se_eff_09296_d,0,,,,
09296_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
09563_01J_a_summon_01,se_eff_09563_s,0.8,,,,
09563_01J_b_death_01,se_eff_monbreak,0,,,,
09563_01J_c_death_01,se_eff_monbreak,0,,,,
09563_01J_d_attack_01,se_eff_09563_d,0,,,,
09563_01J_e_attack_01,se_eff_e11,0,se_eff_attack_exp_1,0.3,,
09575_01J_a_summon_01,se_eff_09575_s,0.5,,,,
09575_01J_b_death_01,se_eff_monbreak,0,,,,
09575_01J_c_death_01,se_eff_monbreak,0,,,,
09575_01J_d_attack_01,se_eff_09575_d,0,,,,
09575_01J_i_spSummon_01,se_eff_09575_sp,0.2,,,,
09575_01J_e_attack_01,se_eff_e08,0,se_eff_attack_exp_1,0.3,,
09618_01J_a_summon_01,se_eff_09618_s,0,,,,
09618_01J_b_death_01,se_eff_monbreak,0,,,,
09618_01J_c_death_01,se_eff_monbreak,0,,,,
09618_01J_d_attack_01,se_eff_09618_d,0,,,,
09618_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
09619_01J_a_summon_01,se_eff_foot_large_1,1,se_eff_foot_large_1_2,2.1,se_eff_foot_large_2,3.2
09619_01J_b_death_01,se_eff_monbreak,0,,,,
09619_01J_c_death_01,se_eff_monbreak,0,,,,
09619_01J_d_attack_01,se_eff_09619_d,,se_eff_attack_d_ark_1,2.2,,
09619_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
09620_01J_a_summon_01,se_eff_wind_round_high_1,1.8,se_eff_foot_landing,3.3,,
09620_01J_b_death_01,se_eff_monbreak,0,,,,
09620_01J_c_death_01,se_eff_monbreak,0,,,,
09620_01J_d_attack_01,se_eff_09620_d,0.3,,,,
09620_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
09622_01J_a_summon_01,se_eff_09622_s,0.3,,,,
09622_01J_b_death_01,se_eff_monbreak,0,,,,
09622_01J_c_death_01,se_eff_monbreak,0,,,,
09622_01J_d_attack_01,se_eff_09622_d,0,,,,
09622_01J_e_attack_01,se_eff_e11,0,se_eff_attack_exp_1,0.3,,
09623_01J_a_summon_01,se_eff_skull_1,2,,,,
09623_01J_b_death_01,se_eff_monbreak,0,,,,
09623_01J_c_death_01,se_eff_monbreak,0,,,,
09623_01J_d_attack_01,se_eff_09623_d,0,,,,
09623_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
09655_01J_a_summon_01,se_eff_09655_s,0,,,,
09655_01J_b_death_01,se_eff_monbreak,0,,,,
09655_01J_c_death_01,se_eff_monbreak,0,,,,
09655_01J_d_attack_01,se_eff_09655_d,0,,,,
09655_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
09656_01J_a_summon_01,se_eff_09656_s,0,,,,
09656_01J_b_death_01,se_eff_monbreak,0,,,,
09656_01J_c_death_01,se_eff_monbreak,0,,,,
09656_01J_d_attack_01,se_eff_09656_d,0,,,,
09656_01J_i_spSummon_01,se_eff_09656_sp,0,,,,
09656_01J_e_attack_01,se_eff_e26,0,se_eff_attack_exp_1,0.3,,
09726_01J_a_summon_01,se_eff_09726_s,0.3,,,,
09726_01J_b_death_01,se_eff_monbreak,0,,,,
09726_01J_c_death_01,se_eff_monbreak,0,,,,
09726_01J_d_attack_01,se_eff_09726_d,0.3,,,,
09726_01J_e_attack_01,se_eff_e23,0,se_eff_attack_exp_1,0.3,,
09728_01J_a_summon_01,se_eff_09728_s,0,,,,
09728_01J_b_death_01,se_eff_monbreak,0,,,,
09728_01J_c_death_01,se_eff_monbreak,0,,,,
09728_01J_d_attack_01,se_eff_09728_d,0,,,,
09728_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
09729_01J_a_summon_01,se_eff_09729_s,0,,,,
09729_01J_b_death_01,se_eff_monbreak,0,,,,
09729_01J_c_death_01,se_eff_monbreak,0,,,,
09729_01J_d_attack_01,se_eff_09729_d,0,,,,
09729_01J_e_attack_01,se_eff_09729_n,0,se_eff_attack_exp_1,0.3,,
09729_01J_i_spSummon_01,se_eff_09729_sp,0.7,,,,
09877_01J_a_summon_01,se_eff_09877_s,0,,,,
09877_01J_b_death_01,se_eff_monbreak,0,,,,
09877_01J_c_death_01,se_eff_monbreak,0,,,,
09877_01J_d_attack_01,se_eff_09877_d,0.5,,,,
09877_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
11134_01J_a_summon_01,se_eff_11134_s,1.3,,,,
11134_01J_b_death_01,se_eff_monbreak,0,,,,
11134_01J_c_death_01,se_eff_monbreak,0,,,,
11134_01J_d_attack_01,se_eff_11134_d,0,,,,
11134_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
11135_01J_a_summon_01,se_eff_11135_s,1.3,,,,
11135_01J_b_death_01,se_eff_monbreak,0,,,,
11135_01J_c_death_01,se_eff_monbreak,0,,,,
11135_01J_d_attack_01,se_eff_11135_d,0,,,,
11135_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
11213_01J_a_summon_01,se_eff_11213_s,0.5,,,,
11213_01J_b_death_01,se_eff_monbreak,0,,,,
11213_01J_c_death_01,se_eff_monbreak,0,,,,
11213_01J_d_attack_01,se_eff_11213_d,0,,,,
11213_01J_i_spSummon_01,se_eff_11213_sp,0.5,,,,
11213_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
11217_01J_a_summon_01,se_eff_11217_s,0.5,,,,
11217_01J_b_death_01,se_eff_monbreak,0,,,,
11217_01J_c_death_01,se_eff_monbreak,0,,,,
11217_01J_d_attack_01,se_eff_11217_d,0.5,,,,
11217_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
11219_01J_a_summon_01,se_eff_11219_s,0.2,,,,
11219_01J_b_death_01,se_eff_monbreak,0,,,,
11219_01J_c_death_01,se_eff_monbreak,0,,,,
11219_01J_d_attack_01,se_eff_11219_d,0,,,,
11219_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
11223_01J_a_summon_01,se_eff_11223_s,2,,,,
11223_01J_b_death_01,se_eff_monbreak,0,,,,
11223_01J_c_death_01,se_eff_monbreak,0,,,,
11223_01J_d_attack_01,se_eff_11223_d,0.3,,,,
11223_01J_e_attack_01,se_eff_e21,0,se_eff_attack_exp_1,0.3,,
11224_01J_a_summon_01,se_eff_11224_s,0.2,,,,
11224_01J_b_death_01,se_eff_monbreak,0,,,,
11224_01J_c_death_01,se_eff_monbreak,0,,,,
11224_01J_d_attack_01,se_eff_11224_d,0.5,,,,
11224_01J_e_attack_01,se_eff_e21,0,se_eff_attack_exp_1,0.3,,
11301_01J_a_summon_01,se_eff_11301_s,0.6,,,,
11301_01J_b_death_01,se_eff_monbreak,0,,,,
11301_01J_c_death_01,se_eff_monbreak,0,,,,
11301_01J_d_attack_01,se_eff_11301_d,0,,,,
11301_01J_e_attack_01,se_eff_e24,0,se_eff_attack_exp_1,0.3,,
11307_01J_a_summon_01,se_eff_11307_s,0,,,,
11307_01J_b_death_01,se_eff_monbreak,0,,,,
11307_01J_c_death_01,se_eff_monbreak,0,,,,
11307_01J_d_attack_01,se_eff_11307_d,0,,,,
11307_01J_e_attack_01,se_eff_e04,0,se_eff_attack_exp_1,0.3,,
